1,150002874,254,3835708.8406
2,150002880,254,2007763.7044
3,150002886,254,369909183.4539
4,150002889,254,1485633.4918
5,150002895,254,94795443.3648
6,150002898,254,2384066079.4828
7,150002901,254,94508185.9926
8,150002907,254,826407.3969
9,150002910,254,31608222.5601
10,150002928,254,6081663.0842
11,150002958,254,8092870.3663
12,150002967,254,2413515.0881
13,150002973,254,33467955.3938
14,150002991,254,45239899.2140
15,150002997,254,793987.4853
16,150011757,254,89530318.0470
17,150011787,254,2833584.4430
18,150011817,254,1627562.8019
19,150011838,254,2937153.1211
20,150011859,254,915773.8857
21,150011754,254,10811996.0173
22,150012525,254,20571186.4747
23,150012528,254,1442770.3616
24,150012537,254,1003110.9779
25,150012546,254,881811.2656
26,150012564,254,1781077.9034
27,150013782,254,35828604.9040
28,150013794,254,14935700.8344
29,150013803,254,972324.2458
30,150013812,254,19617972.2947
31,150013815,254,139364085.3738
32,150013824,254,66538063.8865
33,150013827,254,7858255.3624
34,150013830,254,26295676.8207
35,150013842,254,24112121.4466
36,150013845,254,18793152.3924
37,150013848,254,2453307.6207
38,150013872,254,9631129.8672
39,150013875,254,1081348.8640
40,150014730,254,4676187.7180
41,150014733,254,8889737.2238
42,150014745,254,1741897.0274
43,150014754,254,2766147.0473
44,150014790,254,2261869.0356
45,150014796,254,3551801.1721
46,150014802,254,2109304.9582
47,150018285,254,2786361.7074
48,150018300,254,37799113.9222
49,150018309,254,16355951.8623
50,150018315,254,4886355.9175
51,150018318,254,3185479.7303
52,150018330,254,43891864.0065
53,150018333,254,3989825.3105
54,150018339,254,6189993.5554
55,150018348,254,78022403.2532
56,150018354,254,4214716.8731
57,150018360,254,1334046.6815
58,150018363,254,12078526.0226
59,150018369,254,61939507.8393
60,150018372,254,53607603.9419
61,150020352,254,51523491.3727
62,150020376,254,2182271.3586
63,150020421,254,1839735.0000
64,150020874,254,27541642.4358
65,150020877,254,17816839.9943
66,150020895,254,11443136.4286
67,150020937,254,9991549.2299
68,150020955,254,3644332.8106
69,150020961,254,19734252.7226
70,150020967,254,130345942.3310
71,150020970,254,2253171.6939
72,150020988,254,2409533.9025
73,150023373,254,1617228.2406
74,150023394,254,30716410.1833
75,150023412,254,52280599.0626
76,150023415,254,223138695.7153
